director_id,director_name,popularity
1253090,Tetsuya Yanagisawa,7.83
1777186,Yoshifumi Sueda,11.244
1609342,Taro Kubo,5.948
2377015,Masayuki Iimura,5.654
3754579,Yasuhiro Namatame,2.481
552490,Shin Matsuo,12.224
2124767,Motohiro Abe,2.688
3709019,Masayuki Yamada,5.939
1319787,Tooru Kitahata,3.624
1509839,Takahiro Majima,9.747
2481886,Makoto Uno,1.38
3387063,Takeshi Kanda,2.096
3387053,Jin Isurugi,1.564
1481796,Shosuke Shimizu,6.676
1608432,Junji Goto,3.504
3752828,Shiori Kobayashi,3.847
4304559,Kan Soramoto,0.98
1970782,Tomohiro Koyama,8.438
1845143,Jouji Yanase,16.134
1388757,Shinpei Koikawa,5.683
3156304,Atsushi Shibata,2.719
3997942,Izuro Ijuun,1.126
1848195,Kaori Saito,15.267
2160340,Shuji Maruyama,6.254
2211512,Daisuke Saito,3.052
2404426,Masaru Yamada,3.562
1564403,Mayumi Fujita,2.68
1845145,Ryuji Tsuzuku,8.992
1780667,Mariko Kubo,3.016
1848292,Tomoaki Kado,6.035
3046110,Selece,0.6
1361301,Masaru Kitao,6.104
3844343,Satsuki Hayasaka,3.771
2822143,Kiyotaka Nakahara,2.638
1647588,Tomoyuki Kitamura,18.212
3048321,Masaaki Sakurai,17.128
1433645,Shigeki Awai,10.363
1081087,Ryuichi Inomata,5.502
1992994,Shintaro Sugawara,3.775
1210994,Noriyoshi Sakuma,4.34
115942,Futoshi Ohira,3.01
2481573,Shingo Yamashita,4.381
3102997,Eri Irei,2.969
2800813,Moaang,9.406
1461581,Karel Kopecký,2.243
1090146,Radim Cvrček,5.44
2755546,Patrick Higgins,0.9
3871843,Glenn GT Taylor,0.157
1462946,Katsuyuki Ootaki,0.6
1153074,Iku Suzuki,5.481
40340,Masafumi Mima,11.519
1845410,Hiroaki Shimizu,6.6
1170860,Sonam Nair,6.209
4091876,Sachin Ambre,0.093
2808011,Nikhil Rao,3.865
19850,Catherine Hardwicke,14.619
109544,Andy de Emmony,2.716
1554322,Joss Agnew,2.634
1929570,Charles Sautreuil,1.084
308811,David Korn-Brzoza,1.414
2357855,Stefania Müller,2.715
1685303,Jason Sklaver,2.581
1601664,Robert Gardner,2.372
1724640,Gert-Jan Booy,0.62
1721255,Dries Vos,3.196
94684,Jens Fischer,1.931
80721,Catti Edfeldt,6.471
5306,Lasse Hallström,19.566
1075122,Yaron Zilberman,4.98
2583,Kent L. Wakeford,1.598
75232,Win Phelps,10.002
154528,Elodie Keene,9.918
113102,Tom Moore,11.095
1214369,Rick Wallace,5.418
58072,John Pasquin,7.797
1219802,Rob Thompson,3.686
1219779,Sharron Miller,2.626
107011,Gabrielle Beaumont,7.989
2380,David Carson,6.166
133355,Edwin Sherin,8.806
171259,Helaine Head,3.892
17812,Gregory Hoblit,3.647
1211988,Mark Tinker,4.644
536810,Steven Robman,7.091
51984,Mimi Leder,9.061
162916,Randy Roberts,4.914
1216741,Jan Eliasberg,5.362
67478,Janet Greek,4.761
109095,Oz Scott,11.239
15959,Richard Compton,12.509
1217013,Paul Lazarus,10.618
1214065,Sandy Smolan,10.083
18281,Donald Petrie,5.891
35971,Michael Katleman,4.931
68391,Phillip Goldfarb,3.515
47020,Eric Laneuville,12.663
1214400,Dan Lerner,6.068
1212809,Kim Friedman,3.802
15901,Jonathan Sanger,9.664
1219790,Jeffrey D. Brown,4.191
69791,Charles Haid,18.091
89420,Johanna Demetrakas,8.135
172634,Miles Watkins,2.395
104019,John Patterson,7.3
256124,Nell Cox,3.424
128172,Michael Zinberg,14.249
83198,Allan Arkush,11.04
543495,Paul Schneider,6.458
154222,Max Tash,10.559
158237,Anson Williams,12.961
143888,Marisa Silver,7.119
1211992,Victor Lobl,8.649
77300,Michael Schultz,7.981
41222,Arthur Allan Seidelman,4.688
933119,William M. Finkelstein,4.097
1212075,Michael Fresco,5.594
107736,John Henderson,4.018
1331120,Wes Hurley,4.32
1852398,Olmo Figueredo,0.883
131284,Norman Abbott,5.845
16008,James Komack,8.459
51760,Jay Sandrich,3.732
1219908,Bill Davis,3.751
14995,Alan Myerson,7.172
161375,Robert Hegyes,6.728
157208,Bill Persky,6.797
3451,Mel Stuart,5.24
1213886,Al Schwartz,4.455
1212629,Gary Shimokawa,4.704
1213670,Ray Austin,8.991
31900,Michael Vejar,7.07
152646,Russ Mayberry,9.751
95224,Ivan Dixon,10.392
44131,Alan J. Levi,3.259
1219845,Lawrence Doheny,4.024
112567,Harry Harris,10.247
107331,John Llewellyn Moxey,6.426
151351,Winrich Kolbe,9.652
30074,Burt Brinckerhoff,8.06
89157,Bernard L. Kowalski,5.714
43792,Sidney Hayers,8.975
89838,Leo Penn,14.081
52094,Jerry Jameson,8.59
68457,James Frawley,7.914
15196,David Hemmings,25.124
23946,Roger Young,15.311
1219869,Tony Wharmby,10.087
14065,Georg Stanford Brown,4.244
55278,Jackie Cooper,22.877
151682,Harry Falk,11.407
1162,Robert Loggia,20.562
33722,Ray Danton,22.306
160145,Donald P. Bellisario,5.638
21377,Peter Medak,13.569
42156,Roger E. Mosley,12.256
18579,Burt Kennedy,24.403
182664,Robert C. Thompson,3.671
120884,Robert Totten,16.066
46891,Gilbert M. Shilton,8.924
51313,Michael O'Herlihy,6.469
15657,Vincent McEveety,9.829
64877,Rod Daniel,11.438
41406,Stuart Margolin,13.576
151853,Douglas Heyes,5.247
2775,Corey Allen,11.154
149431,Bruce Seth Green,4.299
158955,Joan Darling,7.256
3484664,Ge Wenzhe,0.309
3373682,芦迪,0.013
33880,Dick Lowry,15.11
2759433,Dongdong Zhang,1.74
2012386,Anthony Bawn,4.511
3359000,Mika Watanabe,2.723
2386046,Mamoru Enomoto,1.232
2132649,Mankyu,6.773
2774376,Ayumi Nishihata,5.267
1680864,Kohei Ogawa,4.396
1081203,Edgar Moura,4.831
2226723,Ilya Akiyoshi,2.22
2292838,Leandro Neri,4.048
2349184,Leonardo Miranda,2.479
1636502,Rogério Passos,1.152
1373719,Edson Spinello,6.828
1558745,Hamsa Wood,2.167
122583,Bryan Gordon,8.505
107658,Lev L. Spiro,7.912
