nodes
24583
1703944
1728522
32779
1556494
1376277
491541
1171480
90138
2162717
3383326
229410
37
1867818
2613295
1376311
1294394
2580538
2383935
1523778
1155140
1597510
1015883
2089035
32845
1597519
1597521
1433681
3154003
4563029
4104278
4104280
32857
4104281
2162780
1327197
2244701
1900639
4104286
1409124
2957414
1302631
2506855
3383401
3383404
3383405
3383406
1597551
2105455
3154031
117
122
1515643
983164
2654331
1982590
8320
1261697
49285
3170437
3088518
16520
1515657
3612808
1515661
24717
1515664
65681
49303
1491096
153
1261721
2195611
2326683
3088537
4120736
4546722
3989667
2326692
1515685
2326693
2326694
2326691
1327273
2498724
1515692
1106092
57518
82092
4087983
49330
3825846
186
1597627
1515713
1179841
195
1392836
1548485
1368260
1515719
1368258
3399882
3399883
3399884
2687181
1515738
1949915
4153566
1302751
4153568
4530402
2613477
8422
2367719
1515754
2089199
1851634
3277045
3277046
1679608
2040059
1736955
2384123
1589504
16640
2343168
2343170
1483013
1843461
4301067
1335568
1876240
278
3105048
3735841
2056491
459052
139565
1433901
983343
4022577
1253699
1409348
49479
2924873
2113866
2924874
2171212
2924878
4358478
2482513
4710738
24914
1098068
41301
835926
2482514
2720089
2548058
2449754
3088729
2171229
1712480
1532260
1458533
16748
2703730
3154293
2023802
24954
2834812
1393021
8576
2802049
1597825
1376641
115074
1491331
1671556
90504
1671565
1597839
3735952
123286
1163675
1163676
1212834
1565091
57766
1147306
1622443
1327532
8619
2818478
934321
57778
1573298
1573300
1352116
1327546
1327554
41410
1327556
549315
1409474
1581511
3604937
1581514
3989963
1434061
3604943
3604944
1343961
1081818
2974172
549340
229862
491
1532396
967148
582123
1761779
1532407
1450489
3219962
1565177
4096508
2327039
4096520
66060
531
1589781
4096533
1606169
4096538
49696
3498529
82468
1589799
3293740
57902
4096561
1557045
1606198
25143
3498552
3555894
8760
57915
3686971
3686969
3752508
3744319
3105340
4096583
3334728
41552
3187280
2794067
2753113
1409626
1843803
3211865
3924573
66142
1204829
2957935
1262192
2957937
3220084
1802871
2491000
1688183
2491003
3736189
2957950
3818111
139904
1761921
3809922
2638468
3859077
1475208
4309640
1057418
4416139
3433100
959123
1499796
1270420
1786523
1917599
1131168
41633
49825
1327782
1344166
58024
1327796
2884279
1327800
2400954
2400955
3932865
3703489
1835714
708
3293893
2998982
1721031
58056
1458889
1721032
1327819
3916487
1327822
719
66256
4129488
1549008
2400975
172756
3244756
3850965
49879
2400977
2400978
3433184
2474721
1794786
1327849
1082090
17132
230125
58099
49911
1352445
230142
1196802
1311490
2056964
1950469
1311491
2384647
58120
2237190
2351884
58124
1565455
25362
2237205
4088600
2237208
1540890
2237209
2237210
1622818
1622819
1303333
2523943
934702
2523953
2933554
1458995
1794868
2687795
2548547
2548548
3982149
1844035
2425673
2343759
3138388
1409877
1647447
1581914
2548571
2057052
2229087
1844065
4014946
1303395
17252
1532774
3498854
3277672
