composer_id,composer_name,popularity
1741366,Este Haim,9.432
3338912,Christopher Stracey,1.211
2675376,Raphael Reed,1.808
3269770,Kouji Murakami,0.681
1273933,Manuel García,1.4
1627871,Ricky Ho,1.852
1147326,Ondřej Gregor Brzobohatý,4.5
1361189,Miroslav Chyška,2.588
1150429,Flemming Nordkrog,1.484
1136753,Cameron Allan,3.447
32347,John Altman,1.303
1919924,Yevgeni Gevorgyan,2.288
2698725,Adrian Burch,0.101
1677276,Kensuke Ushio,21.444
1965,Vladimir Cosma,6.614
2540768,Mark T. Williams,0.746
2540767,Jeff Lippencott,0.613
12939,Ira Newborn,5.586
2020130,Evan Call,6.856
3112915,Daisuke Kikuta,1.051
144673,Shigeru Saito,10.276
2482513,Shota Horie,0.325
562662,Christian Brandauer,1.393
1412071,Hansjörg Kohli,2.895
1647649,Terushige Yoshie,7.221
1433681,Go Shiina,3.654
4609146,Ken Iijima,0.365
3303589,Han Lei,2.261
558989,Takahiro Kaneko,1.235
2161171,Daniel Jullander,0.155
1914985,Alpay Göltekin,2.412
1775461,Akhil Sachdeva,3.769
2483357,Digvijay Singh Pariyar,0.149
3128748,Gaurav Guleria,0.287
2619836,Elisabeth Skornik,0.19
1614826,Guy Skornik,0.921
550583,Kow Otani,8.508
1377720,Shiro Hamaguchi,4.673
4155528,Agnieszka Kulczycka,0.265
4353214,Dominika Czajkowska-Ptak,0.34
4155526,Aneta Brykalska,2.274
4623190,Tomasz Toczkowski,0.51
2163598,Kouchi Yui,0.436
1537405,Naoki Sato,7.164
1162083,Okan Kaya,1.912
2662654,Selda Bağcan,1.988
20682,Armand Amar,4.63
2115082,Hitoshi Fujima,1.224
1807032,Junpei Fujita,5.717
2031409,Mariozinho Rocha,4.281
2226733,Felipe Alexandre,1.568
1301685,Eduardo Queiroz,4.29
2066855,Franklin Araujo,1.07
2061023,Pedro Belo,1.186
2061061,Marcelo Arruda,2.769
2221298,Nelson Zeitone,2.197
1586922,Gavin Greenaway,4.131
1226117,Roger Greenaway,1.599
1896939,João Paulo Mendonça,2.364
2254707,Lelo Zaneti,2.043
2254703,Henrique Portugal,2.019
2254156,Roberto Schilling,1.511
2254682,Haroldo Ferretti,1.091
2248526,Pedro Macedo Camacho,0.021
1139920,Sergio Saraceni,3.062
2220149,Sandro Fernandes,0.372
2031516,Ricardo Leão,1.347
2172128,Octávio Lacerda,1.165
35633,Koji Endo,10.469
1282991,Yasuharu Takanashi,12.327
2163651,Tsugei Takamichi,0.161
2163649,Kyosuke Kamisaka,1.397
2705229,MAYUKO,4.718
2163650,Kano Kawashima,1.723
960924,Philip Giffin,1.73
1100342,Randall Crissman,2.838
3236845,John Zuker,0.629
4177465,Ali Soleimani Noori,0.104
2069811,Marcel Klemm,1.756
151173,Reijirō Koroku,8.957
1892775,Pedro Marques,0.529
39023,Richard Hartley,5.545
1303993,Johnny Lee Michaels,0.413
1071401,Garry Hardman,1.478
138451,Shunsuke Kikuchi,4.808
186,Yoko Kanno,11.619
57766,Paul Räbiger,2.616
1363836,Hans Günter Wagener,0.986
1653749,Michael Jennings,3.22
49502,Charles Gounod,2.421
199526,Michael Price,4.287
6489,David Arnold,10.711
57304,Kenji Kawai,9.261
